feature,dtype
index,int64
datetime,"datetime64[ns, UTC]"
date,object
year,int64
month,int64
day,int64
hour,int32
minute,int32
time_of_day,object
day_of_week_0=Mon,int64
day_name,object
is_weekend,int64
week_of_year,int64
timestep_global,int64
step_in_day_0_95,int64
day_number_0_based,int64
sin_time,float64
cos_time,float64
sin_dow,float64
cos_dow,float64
sensor_temp,float64
sensor_humi,float64
ext_temp,float64
ext_humi,int64
ext_dew,float64
ext_rain,float64
ext_sunshine,float64
ext_wind,float64
is_day,int64
step_in_day,int32
dayofweek,int32
temp_gap,float64
humi_gap,float64
temp_rollmean_8,float64
temp_rollstd_8,float64
temp_rolliqr_8,float64
temp_rollrms_8,float64
temp_rollmean_96,float64
temp_diff_1,float64
temp_absdiff_1,float64
humi_rollmean_8,float64
humi_rollstd_8,float64
humi_rolliqr_8,float64
humi_rollrms_8,float64
humi_rollmean_96,float64
humi_diff_1,float64
humi_absdiff_1,float64
sensor_humi_ema,float64
sensor_temp_ema,float64
