horizon_steps,horizon_hours,model,n_train,n_test,test_mae,test_rmse,test_r2
8,2.0,Linear,1068,268,1.2383328202748585,1.3962505008805381,0.6644207734482324
8,2.0,Ridge(1.0),1068,268,1.2637586582995946,1.419240320527129,0.6532789040098017
8,2.0,Ridge(10.0),1068,268,1.315971404937005,1.4679966276938292,0.6290473305221485
16,4.0,Linear,1062,266,2.056602761314876,2.343719019943342,0.05893253541273913
16,4.0,Ridge(1.0),1062,266,2.073975888016765,2.339511294782893,0.06230853629258515
16,4.0,Ridge(10.0),1062,266,2.1155819126363964,2.3420179225734823,0.06029811415218711
24,6.0,Linear,1056,264,2.611117584835429,2.9493073198376445,-0.4828813216554
24,6.0,Ridge(1.0),1056,264,2.6300334563651466,2.9539620355331393,-0.4875657014294741
24,6.0,Ridge(10.0),1056,264,2.6898539300342583,2.9714259302310566,-0.5052067433760665
48,12.0,Linear,1036,260,3.953356886677674,4.3191108328397085,-2.1468485894576714
48,12.0,Ridge(1.0),1036,260,4.002071598898835,4.359644202719792,-2.206189921687403
48,12.0,Ridge(10.0),1036,260,4.126539910809099,4.465093997060398,-2.363166449036122
