datetime,date,hour,sensor_temp,ext_temp,sensor_humi,ext_humi,T_dev_out,T_dev_in,T_relief,H_dev_out,H_dev_in,H_relief,IORI,IORI_class
2026-02-15 00:00:00+00:00,2026-02-15,0,26.1333,3.9,20.8467,65,18.1,4.133299999999998,13.966700000000003,15.0,29.1533,-14.153300000000002,2.718700000000001,moderate relief
2026-02-15 00:15:00+00:00,2026-02-15,0,26.5433,3.9,20.7167,65,18.1,4.543299999999999,13.556700000000003,15.0,29.2833,-14.2833,2.420700000000001,moderate relief
2026-02-15 00:30:00+00:00,2026-02-15,0,27.16,4.0,21.6467,65,18.0,5.16,12.84,15.0,28.3533,-13.3533,2.3626799999999992,moderate relief
2026-02-15 00:45:00+00:00,2026-02-15,0,27.23,4.0,23.53,65,18.0,5.23,12.77,15.0,26.47,-11.469999999999999,3.073999999999999,strong relief
2026-02-15 01:00:00+00:00,2026-02-15,1,27.1167,4.1,24.2133,65,17.9,5.116700000000002,12.783299999999997,15.0,25.7867,-10.7867,3.355299999999998,strong relief
2026-02-15 01:15:00+00:00,2026-02-15,1,26.9567,4.1,24.65,65,17.9,4.956700000000001,12.943299999999997,15.0,25.35,-10.350000000000001,3.6259799999999975,strong relief
2026-02-15 01:30:00+00:00,2026-02-15,1,26.62,4.2,24.6633,64,17.8,4.620000000000001,13.18,14.0,25.3367,-11.3367,3.3733199999999988,strong relief
2026-02-15 01:45:00+00:00,2026-02-15,1,26.0733,4.3,23.2533,64,17.7,4.0733,13.6267,14.0,26.7467,-12.7467,3.0773399999999986,strong relief
2026-02-15 02:00:00+00:00,2026-02-15,2,26.0267,4.3,22.71,65,17.7,4.026700000000002,13.673299999999998,15.0,27.29,-12.29,3.2879799999999975,strong relief
2026-02-15 02:15:00+00:00,2026-02-15,2,26.5933,4.3,26.97,67,17.7,4.593299999999999,13.1067,17.0,23.03,-6.030000000000001,5.452019999999999,strong relief
2026-02-15 02:30:00+00:00,2026-02-15,2,26.6833,4.3,26.88,69,17.7,4.683299999999999,13.0167,19.0,23.12,-4.120000000000001,6.162019999999999,strong relief
2026-02-15 02:45:00+00:00,2026-02-15,2,26.4333,4.3,25.4433,72,17.7,4.433299999999999,13.2667,22.0,24.5567,-2.5566999999999993,6.937340000000001,strong relief
2026-02-15 03:00:00+00:00,2026-02-15,3,26.3533,4.2,24.67,74,17.8,4.353300000000001,13.4467,24.0,25.33,-1.3299999999999983,7.53602,strong relief
2026-02-15 03:15:00+00:00,2026-02-15,3,26.53,4.2,24.28,75,17.8,4.530000000000001,13.27,25.0,25.72,-0.7199999999999989,7.674,strong relief
2026-02-15 03:30:00+00:00,2026-02-15,3,26.4067,4.1,23.7533,75,17.9,4.406700000000001,13.493299999999998,25.0,26.2467,-1.2467000000000006,7.597299999999999,strong relief
2026-02-15 03:45:00+00:00,2026-02-15,3,26.2167,4.1,23.4767,75,17.9,4.2166999999999994,13.6833,25.0,26.5233,-1.523299999999999,7.60066,strong relief
2026-02-15 04:00:00+00:00,2026-02-15,4,26.28,4.0,23.67,76,18.0,4.280000000000001,13.719999999999999,26.0,26.33,-0.3299999999999983,8.1,strong relief
2026-02-15 04:15:00+00:00,2026-02-15,4,26.3433,4.0,23.6033,77,18.0,4.343299999999999,13.6567,27.0,26.3967,0.6033000000000008,8.43534,strong relief
2026-02-15 04:30:00+00:00,2026-02-15,4,26.15,3.9,23.7033,79,18.1,4.149999999999999,13.950000000000003,29.0,26.2967,2.7032999999999987,9.45132,strong relief
2026-02-15 04:45:00+00:00,2026-02-15,4,26.1467,3.9,23.8567,80,18.1,4.146699999999999,13.953300000000002,30.0,26.1433,3.8567,9.914660000000001,strong relief
2026-02-15 05:00:00+00:00,2026-02-15,5,26.2933,3.8,23.9,81,18.2,4.293299999999999,13.9067,31.0,26.1,4.899999999999999,10.30402,strong relief
2026-02-15 05:15:00+00:00,2026-02-15,5,26.15,3.8,24.1433,82,18.2,4.149999999999999,14.05,32.0,25.8567,6.1433,10.887319999999999,strong relief
2026-02-15 05:30:00+00:00,2026-02-15,5,25.96,3.8,24.53,82,18.2,3.960000000000001,14.239999999999998,32.0,25.47,6.530000000000001,11.155999999999999,strong relief
2026-02-15 05:45:00+00:00,2026-02-15,5,26.1367,3.8,24.75,82,18.2,4.136700000000001,14.063299999999998,32.0,25.25,6.75,11.137979999999999,strong relief
2026-02-15 06:00:00+00:00,2026-02-15,6,26.2,3.8,24.9067,83,18.2,4.199999999999999,14.0,33.0,25.0933,7.906700000000001,11.56268,strong relief
2026-02-15 06:15:00+00:00,2026-02-15,6,26.0233,3.8,25.08,84,18.2,4.023299999999999,14.1767,34.0,24.92,9.079999999999998,12.13802,strong relief
2026-02-15 06:30:00+00:00,2026-02-15,6,25.92,3.6,25.2733,86,18.4,3.9200000000000017,14.479999999999997,36.0,24.7267,11.273299999999999,13.197319999999998,strong relief
2026-02-15 06:45:00+00:00,2026-02-15,6,26.1333,3.6,25.26,88,18.4,4.133299999999998,14.2667,38.0,24.74,13.260000000000002,13.86402,strong relief
2026-02-15 07:00:00+00:00,2026-02-15,7,26.0667,3.5,25.1867,89,18.5,4.066700000000001,14.4333,39.0,24.8133,14.186699999999998,14.33466,strong relief
