window,pair,n,contemp_r,best_lag_min,peak_r
Full,RH vs dew point,1344,0.767,270,0.822
Stable-A,RH vs dew point,960,0.792,270,0.844
Stable-A (Early),RH vs dew point,480,0.644,330,0.735
Stable-A (Late),RH vs dew point,480,0.284,180,0.447
Stable-B,RH vs dew point,288,0.857,195,0.97
Full,Temp vs ext temp,1344,0.314,360,0.473
Stable-A,Temp vs ext temp,960,0.582,360,0.655
Stable-A (Early),Temp vs ext temp,480,0.262,360,0.263
Stable-A (Late),Temp vs ext temp,480,-0.067,360,0.219
Stable-B,Temp vs ext temp,288,0.054,360,-0.493
