index,datetime,date,year,month,day,hour,minute,time_of_day,"day_of_week
(0=Mon)",day_name,is_weekend,week_of_year,"timestep
(global)","step_in_day
(0-95)","day_number
(0-based)",sin_time,cos_time,sin_dow,cos_dow,"sensor_temp
(°C)","sensor_humi
(%)","ext_temp
(°C)","ext_humi
(%)","ext_dew
(°C)","ext_rain
(mm)","ext_sunshine
(s)","ext_wind
(km/h)",is_day
1,2026-02-15 00:00,2026-02-15,2026,2,15,0,0,00:00,6,Sunday,1,7,0,0,0,0.0,1.0,,,26.1333,20.8467,3.9,65,-2.0,0.0,0.0,10.4,0
2,2026-02-15 00:15,2026-02-15,2026,2,15,0,15,00:15,6,Sunday,1,7,1,1,0,0.06540312923014306,0.9978589232386035,,,26.5433,20.7167,3.9,65,-2.0,0.0,0.0,10.4,0
3,2026-02-15 00:30,2026-02-15,2026,2,15,0,30,00:30,6,Sunday,1,7,2,2,0,0.13052619222005157,0.9914448613738104,,,27.16,21.6467,4.0,65,-2.0,0.0,0.0,10.8,0
4,2026-02-15 00:45,2026-02-15,2026,2,15,0,45,00:45,6,Sunday,1,7,3,3,0,0.19509032201612825,0.9807852804032304,,,27.23,23.53,4.0,65,-1.9,0.0,0.0,11.5,0
5,2026-02-15 01:00,2026-02-15,2026,2,15,1,0,01:00,6,Sunday,1,7,4,4,0,0.25881904510252074,0.9659258262890683,,,27.1167,24.2133,4.1,65,-1.9,0.0,0.0,11.9,0
6,2026-02-15 01:15,2026-02-15,2026,2,15,1,15,01:15,6,Sunday,1,7,5,5,0,0.3214394653031616,0.9469301294951057,,,26.9567,24.65,4.1,65,-1.8,0.0,0.0,12.6,0
7,2026-02-15 01:30,2026-02-15,2026,2,15,1,30,01:30,6,Sunday,1,7,6,6,0,0.3826834323650898,0.9238795325112867,,,26.62,24.6633,4.2,64,-2.0,0.0,0.0,13.3,0
8,2026-02-15 01:45,2026-02-15,2026,2,15,1,45,01:45,6,Sunday,1,7,7,7,0,0.44228869021900125,0.8968727415326884,,,26.0733,23.2533,4.3,64,-1.9,0.0,0.0,14.0,0
9,2026-02-15 02:00,2026-02-15,2026,2,15,2,0,02:00,6,Sunday,1,7,8,8,0,0.49999999999999994,0.8660254037844387,,,26.0267,22.71,4.3,65,-1.7,0.0,0.0,14.8,0
10,2026-02-15 02:15,2026-02-15,2026,2,15,2,15,02:15,6,Sunday,1,7,9,9,0,0.5555702330196022,0.8314696123025452,,,26.5933,26.97,4.3,67,-1.2,0.0,0.0,15.5,0
11,2026-02-15 02:30,2026-02-15,2026,2,15,2,30,02:30,6,Sunday,1,7,10,10,0,0.6087614290087207,0.7933533402912352,,,26.6833,26.88,4.3,69,-0.8,0.0,0.0,15.8,0
12,2026-02-15 02:45,2026-02-15,2026,2,15,2,45,02:45,6,Sunday,1,7,11,11,0,0.6593458151000688,0.7518398074789774,,,26.4333,25.4433,4.3,72,-0.3,0.0,0.0,16.2,0
13,2026-02-15 03:00,2026-02-15,2026,2,15,3,0,03:00,6,Sunday,1,7,12,12,0,0.7071067811865475,0.7071067811865476,,,26.3533,24.67,4.2,74,0.0,0.0,0.0,16.6,0
14,2026-02-15 03:15,2026-02-15,2026,2,15,3,15,03:15,6,Sunday,1,7,13,13,0,0.7518398074789774,0.6593458151000688,,,26.53,24.28,4.2,75,0.2,0.1,0.0,16.6,0
15,2026-02-15 03:30,2026-02-15,2026,2,15,3,30,03:30,6,Sunday,1,7,14,14,0,0.7933533402912352,0.6087614290087207,,,26.4067,23.7533,4.1,75,0.1,0.1,0.0,16.6,0
16,2026-02-15 03:45,2026-02-15,2026,2,15,3,45,03:45,6,Sunday,1,7,15,15,0,0.8314696123025451,0.5555702330196024,,,26.2167,23.4767,4.1,75,0.1,0.1,0.0,16.2,0
17,2026-02-15 04:00,2026-02-15,2026,2,15,4,0,04:00,6,Sunday,1,7,16,16,0,0.8660254037844386,0.5000000000000001,,,26.28,23.67,4.0,76,0.2,0.1,0.0,16.2,0
18,2026-02-15 04:15,2026-02-15,2026,2,15,4,15,04:15,6,Sunday,1,7,17,17,0,0.8968727415326884,0.44228869021900125,,,26.3433,23.6033,4.0,77,0.3,0.1,0.0,16.2,0
19,2026-02-15 04:30,2026-02-15,2026,2,15,4,30,04:30,6,Sunday,1,7,18,18,0,0.9238795325112867,0.38268343236508984,,,26.15,23.7033,3.9,79,0.6,0.1,0.0,15.8,0
20,2026-02-15 04:45,2026-02-15,2026,2,15,4,45,04:45,6,Sunday,1,7,19,19,0,0.9469301294951056,0.3214394653031617,,,26.1467,23.8567,3.9,80,0.8,0.1,0.0,15.8,0
21,2026-02-15 05:00,2026-02-15,2026,2,15,5,0,05:00,6,Sunday,1,7,20,20,0,0.9659258262890683,0.25881904510252074,,,26.2933,23.9,3.8,81,0.9,0.1,0.0,15.8,0
22,2026-02-15 05:15,2026-02-15,2026,2,15,5,15,05:15,6,Sunday,1,7,21,21,0,0.9807852804032304,0.19509032201612833,,,26.15,24.1433,3.8,82,1.1,0.0,0.0,16.2,0
23,2026-02-15 05:30,2026-02-15,2026,2,15,5,30,05:30,6,Sunday,1,7,22,22,0,0.9914448613738104,0.1305261922200517,,,25.96,24.53,3.8,82,1.1,0.0,0.0,16.9,0
24,2026-02-15 05:45,2026-02-15,2026,2,15,5,45,05:45,6,Sunday,1,7,23,23,0,0.9978589232386035,0.06540312923014327,,,26.1367,24.75,3.8,82,1.1,0.0,0.0,17.3,0
25,2026-02-15 06:00,2026-02-15,2026,2,15,6,0,06:00,6,Sunday,1,7,24,24,0,1.0,6.123233995736766e-17,,,26.2,24.9067,3.8,83,1.2,0.0,0.0,17.6,0
26,2026-02-15 06:15,2026-02-15,2026,2,15,6,15,06:15,6,Sunday,1,7,25,25,0,0.9978589232386035,-0.06540312923014314,,,26.0233,25.08,3.8,84,1.3,0.1,0.0,17.6,0
27,2026-02-15 06:30,2026-02-15,2026,2,15,6,30,06:30,6,Sunday,1,7,26,26,0,0.9914448613738104,-0.1305261922200516,,,25.92,25.2733,3.6,86,1.5,0.1,0.0,17.6,0
